zl zs1 zs2 rein1 rein2 beta betaerr SN1 SN2 mag1 mag2
0.164 0.478 0.732 0.951 1.120 0.8490 0.0145 26.200 37.756 2.719 5.810
0.132 0.235 1.805 0.851 1.762 0.4792 0.0079 21.019 67.424 3.079 2.117
0.796 1.321 1.485 0.461 0.537 0.8585 0.0260 33.838 40.644 5.330 2.194
0.088 0.359 0.409 1.093 1.136 0.9627 0.0156 50.879 26.959 2.824 4.083
0.099 0.731 1.708 1.271 1.380 0.9209 0.0135 20.360 27.345 3.772 3.966
1.007 2.577 2.821 0.824 0.869 0.9486 0.0185 25.781 24.850 2.897 9.113
0.103 0.620 0.757 1.295 1.340 0.9661 0.0142 35.498 20.741 3.308 4.449
0.229 0.699 0.761 1.006 1.046 0.9623 0.0164 21.967 66.294 62.448 2.594
0.529 1.978 3.087 1.081 1.217 0.8885 0.0141 34.027 23.143 4.601 2.383
0.567 1.453 1.656 1.427 1.535 0.9295 0.0129 29.517 67.372 2.703 7.359
0.234 1.132 1.722 1.701 1.846 0.9214 0.0118 29.874 20.035 16.534 9.046
0.042 0.647 1.089 1.995 2.049 0.9738 0.0119 20.057 29.846 2.176 3.448
0.384 1.280 1.501 2.050 2.175 0.9427 0.0113 21.997 40.325 3.712 2.463
0.340 0.475 0.716 0.626 1.160 0.5420 0.0112 49.114 31.366 2.799 6.047
